symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
EURUSD,ema,21,flip,1.5,352,0.4091,0.9468,-0.077,0.1902,0.4667,-2.57,0.0,54.43,269.12,3422.85,3691.97,0.224897
EURUSD,ema,21,flip,2.0,352,0.3835,1.1431,0.2286,0.1569,0.5333,7.62,12.88,62.75,1062.44,3851.85,4914.28,0.251995
EURUSD,ema,21,flip,2.5,352,0.3494,1.22,0.3678,0.1514,0.55,12.26,8.33,71.6,1600.32,3870.69,5471.01,0.246289
EURUSD,ema,21,slope_flip,1.5,94,0.4574,1.2015,0.0696,0.0832,0.3167,2.32,0.0,29.37,233.58,4044.78,4278.37,0.212373
EURUSD,ema,21,slope_flip,2.0,94,0.4468,1.5208,0.186,0.0769,0.3083,6.2,0.0,36.02,629.98,4113.89,4743.87,0.19625
EURUSD,ema,21,slope_flip,2.5,94,0.383,1.38,0.1438,0.1216,0.2583,4.79,0.0,40.7,523.76,4051.36,4575.12,0.150411
EURUSD,ema,21,pullback,1.5,402,0.1891,0.3322,-0.7774,0.7797,0.1917,-25.91,-15.82,41.0,0.0,890.57,890.57,0.027911
EURUSD,ema,21,pullback,2.0,397,0.1637,0.3656,-0.7606,0.7639,0.2083,-25.35,-17.29,44.17,0.0,957.76,957.76,0.031685
EURUSD,ema,21,pullback,2.5,391,0.1535,0.4375,-0.7143,0.7193,0.2417,-23.81,-19.88,49.68,0.0,1142.93,1142.93,0.04184
EURUSD,ema,34,flip,1.5,248,0.4395,1.0592,0.0596,0.1261,0.4202,2.0,0.0,51.57,245.03,3993.56,4238.59,0.223263
EURUSD,ema,34,flip,2.0,248,0.4153,1.3132,0.3338,0.1038,0.4202,11.22,0.0,60.21,1198.11,4136.89,5335.01,0.214858
EURUSD,ema,34,flip,2.5,248,0.3629,1.3616,0.4143,0.1136,0.4622,13.93,0.0,64.6,1388.18,4269.11,5657.29,0.226655
EURUSD,ema,34,slope_flip,1.5,50,0.48,1.3145,0.0557,0.0363,0.1933,1.87,0.0,20.67,146.94,4075.83,4222.77,0.148019
EURUSD,ema,34,slope_flip,2.0,50,0.42,1.4768,0.0882,0.0438,0.1597,2.96,0.0,23.44,228.86,4123.76,4352.63,0.118065
EURUSD,ema,34,slope_flip,2.5,50,0.34,1.3813,0.0759,0.0888,0.1429,2.55,0.0,27.88,202.08,4101.49,4303.57,0.096534
EURUSD,ema,34,pullback,1.5,275,0.2073,0.356,-0.6056,0.615,0.1849,-20.36,-12.65,34.34,0.0,1577.64,1577.64,0.049804
EURUSD,ema,34,pullback,2.0,275,0.2036,0.4645,-0.5409,0.5586,0.2017,-18.18,-7.19,37.63,0.0,1836.6,1836.6,0.060535
EURUSD,ema,34,pullback,2.5,272,0.1875,0.5157,-0.5053,0.5303,0.2689,-16.98,-11.13,44.16,0.0,1978.8,1978.8,0.081388
EURUSD,ema,50,flip,1.5,199,0.4573,1.1312,0.1043,0.0975,0.4034,3.51,0.0,45.13,428.16,3989.16,4417.32,0.232739
EURUSD,ema,50,flip,2.0,199,0.4271,1.3632,0.3113,0.1065,0.3782,10.46,0.0,58.17,1164.39,4080.62,5245.01,0.195638
EURUSD,ema,50,flip,2.5,199,0.3819,1.4348,0.3993,0.1234,0.4286,13.42,0.0,61.31,1413.26,4184.07,5597.32,0.212698
